First Name,Middle Name,Last Name,Employee ID,Department,Contact,Age,Sex,Status,Sports
Lara,Juliet,Vladimir Finch,1010,College President Office,9673902158,33,Male,Fit,
Hayden,Veronica,Melissa Bray,1011,College of Business and Accountancy,9207108250,49,Male,Fit,"Basketball,Volleyball,Chess"
Tyler,Byron,Amanda Ferguson,1012,College Library,9123456789,50,Female,On Official Time,
Chaim,Abel,Brynne Weaver,1013,College Registar,9147483647,53,Male,On-Leave,
Christopher,Zahir,Harding Brown,1014,College Administrator Office,9147483647,37,Male,On Official Business,Volleyball
Akeem,Allistair,Gemma Camacho,1015,Institute of Human Kinetics,9123456789,55,Female,Fit,Badminton
Dominique,Leah,Judah Michael,1016,Maintenance and Finance Services Office,9946441167,59,Female,Fit,Chess
Hiroko,Kiona,Brock Michael,1017,Institute of Graduate Studies,9863381915,58,Male,Fit,
Roth,Darius,Omar Montgomery,1018,College of Computer Studies,9780322664,39,Male,Fit,Volleyball
Roary,Naida,Imogene Cox,1019,"College of Education, Arts, and Sciences",9697263413,60,Female,Fever,Badminton
Odysseus,Grant,Timon Wilson,1020,College of Computer Studies,9673902158,34,Male,PWD,Chess
Maisie,Ronan,Chaney Ferguson,1021,Management Information and Communication Services Unit,9207108250,51,Male,Pregnant,
Azalia,Austin,Hashim Blackburn,1022,College of Allied Health Studies,9123456789,57,Female,Asthma,Volleyball
Sacha,Raymond,Tatum Thomas,1023,National Service Training Program,9147483647,50,Female,Fit,Badminton
Roanna,Delilah,Jana Acevedo,1024,Finance Services Unit,9147483647,59,Male,Stroke,
Xenos,Zenia,Mason Mccormick,1025,Human Resource Management Unit,9123456789,22,Male,Fit,Bowling
Boris,Maia,Nolan Bowman,1026,Internal Security Services Unit,9946441167,40,Female,Fit,Mobile Legends
Aquila,Bethany,Jolie Rivers,1027,Management Information System Unit,9863381915,55,Male,Fit,Triathlon
Noah,Addison,David Villarreal,1028,Vocational and Technical Education Office,9780322664,57,Male,Fit,Basketball
Kiayada,Hyacinth,Adam Charles,1029,Institute of Graduate Studies,9697263413,57,Female,On Official Time,
Pascale,Phillip,Cameron Emerson,1030,Property Management Unit,9147483647,31,Female,On-Leave,
Lewis,Justin,Dolan Wilkins,1031,College of Business and Accountancy,9673902158,43,Male,On Official Business,Volleyball
Jack,Acton,McKenzie English,1032,"College of Education, Arts and Sciences",9207108250,32,Male,Allergies,Badminton
Isaac,Chelsea,Yvonne Owen,1033,College of Computer Studies,9123456789,50,Female,Fit,Chess
Jescie,Hector,Nigel Richard,1034,College of Business and Accountancy,9147483647,21,Male,Fit,
Kirestin,Octavius,Jaime Mueller,1035,"College of Education, Arts and Sciences",9147483647,28,Male,Fit,
Meredith,Allen,Jameson Mcfarland,1036,College Clinic,9123456789,36,Female,Fit,
Gabriel,Mercedes,Igor Lloyd,1037,Discipline Unit,9946441167,37,Female,Fit,
Xantha,McKenzie,Ezekiel Whitney,1038,Guidance and Admission Unit,9863381915,45,Male,Fit,
Maile,Sigourney,Myles Joseph,1039,Academic Affairs Office,9780322664,38,Male,Heart Disease,
Wylie,Arsenio,Nell Webster,1040,Student Welfare and Services Office,9697263413,40,Female,Fit,
Herrod,Hiroko,Bevis Hancock,1041,Research and Extension Office,9147483647,33,Male,Cancer,
Patrick,Chadwick,Lucas Merrill,1042,Administration and Finance Services Office,9673902158,38,Male,Fit,Bowling
Acton,Honorato,Justine Nielsen,1043,Information and Communication Services Unit,9207108250,42,Female,Fit,Mobile Legends
Richard,Chloe,Gay Meyers,1044,College President Office,9123456789,24,Female,Fit,Triathlon
Colin,Reece,Roanna Mckinney,1045,College of Business and Accountancy,9147483647,61,Male,Fit,Basketball
Denise,Isadora,Ciaran Winters,1046,College Library,9147483647,55,Male,Fit,
Morgan,Clayton,Chancellor Strong,1047,College Registar,9123456789,64,Female,On Official Time,
Cairo,Illiana,Cadman Munoz,1048,College Administrator Office,9946441167,42,Male,On-Leave,Volleyball
Dorian,Lev,Oprah Hyde,1049,Institute of Human Kinetics,9863381915,29,Male,On Official Business,Badminton
Rhonda,Jasper,Illiana Berger,1050,Maintenance and Finance Services Office,9780322664,41,Female,Fit,Chess
Emerald,Sandra,Gil Hooper,1051,Institute of Graduate Studies,9697263413,57,Female,Fit,
Holmes,Margaret,Ahmed Harris,1052,College of Computer Studies,9147483647,31,Male,Fit,
Bree,Xandra,Colton Best,1053,"College of Education, Arts, and Sciences",9673902158,44,Male,Fit,
Quynn,Shoshana,Holmes Edwards,1054,College of Computer Studies,9207108250,57,Female,Fever,
Jamal,Colleen,Hedy Russell,1055,Management Information and Communication Services Unit,9123456789,35,Male,PWD,
Jaden,Talon,Caleb Dorsey,1056,College of Allied Health Studies,9147483647,31,Male,Pregnant,
Elaine,Amir,Nasim Williams,1057,National Service Training Program,9147483647,42,Female,Asthma,
Arsenio,Octavia,Anastasia Morrow,1058,Finance Services Unit,9123456789,59,Female,Fit,
Ross,Duncan,Natalie Malone,1059,Human Resource Management Unit,9946441167,61,Male,Fit,Bowling
Matthew,Kelsey,Jacqueline Roth,1060,Internal Security Services Unit,9863381915,50,Male,Fit,Mobile Legends
Alice,Stacey,Abraham York,1061,Management Information System Unit,9780322664,47,Female,Fit,Triathlon
Elizabeth,Pandora,Amelia Clayton,1062,Vocational and Technical Education Office,9697263413,29,Male,Fit,Basketball
Jonas,Ray,Brenden West,1063,Institute of Graduate Studies,9673902158,33,Male,Fit,
Tyrone,Fulton,Raven Craig,1064,Property Management Unit,9207108250,45,Female,On Official Business,
Ivory,Vaughan,Halee Clemons,1065,College of Business and Accountancy,9123456789,32,Female,On-Leave,Volleyball
Kylie,Kadeem,Tanisha Lang,1066,"College of Education, Arts and Sciences",9147483647,39,Male,On Official Business,Badminton
Britanney,Aiko,Cheryl Harris,1067,College of Computer Studies,9147483647,37,Male,Allergies,Chess
Cassandra,Harriet,Kirby Hopper,1068,College of Business and Accountancy,9123456789,32,Female,Fit,
Maggy,Renee,Alexa Rodgers,1069,"College of Education, Arts and Sciences",9946441167,42,Male,Fit,
Herman,Keefe,Suki Walters,1070,College Clinic,9863381915,39,Male,Fit,
Burke,Odysseus,Kimberly Leblanc,1071,Discipline Unit,9780322664,64,Female,Fit,
Helen,Allegra,Heidi Knowles,1072,Guidance and Admission Unit,9697263413,26,Female,Fit,
Melinda,Russell,Gillian Whitehead,1073,Academic Affairs Office,9673902158,25,Male,Fit,
Erich,Aurora,Alisa Knowles,1074,Student Welfare and Services Office,9207108250,40,Male,Heart Disease,
Jack,Jamalia,Cheryl Mcmillan,1075,Research and Extension Office,9123456789,28,Female,Fit,
Teegan,Drew,Davis Kaufman,1076,Administration and Finance Services Office,9147483647,54,Male,Cancer,Bowling
Kibo,Germane,Slade Ryan,1077,Information and Communication Services Unit,9147483647,29,Male,Fit,Mobile Legends
Wendy,Jolie,Lee Mason,1078,College President Office,9123456789,47,Female,Fit,Triathlon
Yoshio,Dominique,Kasper Smith,1079,College of Business and Accountancy,9946441167,53,Female,Fit,Basketball
Fredericka,Lee,Linus Manning,1080,College Library,9863381915,52,Male,Fit,
Leila,Basil,Benedict Gonzalez,1081,College Registar,9780322664,29,Male,Fit,
Aretha,Davis,Callie Browning,1082,College Administrator Office,9697263413,57,Female,On Official Time,Volleyball
Solomon,Montana,Sybill Zamora,1083,Institute of Human Kinetics,9147483647,38,Male,On-Leave,Badminton
Dane,Knox,Thane Green,1084,Maintenance and Finance Services Office,9673902158,29,Male,On Official Business,Chess
Noble,Lydia,Shaeleigh Bartlett,1085,Institute of Graduate Studies,9207108250,37,Female,Fit,
Jonas,Dominic,Rebekah Fernandez,1086,College of Computer Studies,9123456789,22,Female,Fit,
Hall,Nicole,Jaquelyn Simon,1087,"College of Education, Arts, and Sciences",9147483647,57,Male,Fit,
Zelda,Colin,Vera Gonzalez,1088,College of Computer Studies,9147483647,52,Male,Fit,
Molly,Marsden,Mannix Gross,1089,Management Information and Communication Services Unit,9123456789,49,Female,Fever,
Finn,Kibo,Craig Hutchinson,1090,College of Allied Health Studies,9946441167,26,Male,PWD,
Cara,Beatrice,Fitzgerald Hughes,1091,National Service Training Program,9863381915,43,Male,Pregnant,
Daquan,Stacey,Byron Lee,1092,Finance Services Unit,9780322664,36,Female,Asthma,
Shafira,Daryl,Aline Case,1093,Human Resource Management Unit,9697263413,52,Female,Fit,Bowling
Winifred,Evelyn,Lawrence Crawford,1094,Internal Security Services Unit,9147483647,46,Male,Fit,Mobile Legends
Ulla,Wing,Whoopi Strickland,1095,Management Information System Unit,9673902158,56,Male,Fit,Triathlon
Carl,Len,Gage Ferrell,1096,Vocational and Technical Education Office,9207108250,30,Female,Fit,Basketball
Ann,Buffy,Adrienne Snyder,1097,Institute of Graduate Studies,9123456789,35,Male,Fit,
Myles,Wylie,Micah Rasmussen,1098,Property Management Unit,9147483647,38,Male,Fit,
Bradley,Paul,Hannah Robertson,1099,College of Business and Accountancy,9147483647,61,Female,On Official Time,Volleyball
Constance,Raya,Katell Goff,1100,"College of Education, Arts and Sciences",9123456789,37,Female,On-Leave,Badminton
Cameron,Echo,Janna Wilkerson,1101,College of Computer Studies,9946441167,27,Male,On Official Business,Chess
Iliana,Ingrid,Dane Richardson,1102,College of Business and Accountancy,9863381915,49,Male,Allergies,
Amelia,Hiram,Sydney Gentry,1103,"College of Education, Arts and Sciences",9780322664,29,Female,Fit,
Jonah,Neville,Drew Medina,1104,College Clinic,9697263413,39,Male,Fit,
Zachery,Randall,Samantha Green,1105,Discipline Unit,9147483647,52,Male,Fit,
Ivana,Nehru,Lysandra Clarke,1106,Guidance and Admission Unit,9673902158,35,Female,Fit,
Dennis,Pamela,Austin Byrd,1107,Academic Affairs Office,9207108250,26,Female,Fit,
Whilemina,Lana,Akeem Dotson,1108,Student Welfare and Services Office,9123456789,24,Male,Fit,
Judith,Ishmael,Cole Carroll,1109,Research and Extension Office,9147483647,54,Male,Heart Disease,
Patrick,Aspen,Wynne Hansen,1110,Administration and Finance Services Office,9147483647,21,Female,Fit,Bowling
Gregory,Boris,Austin Cox,1111,Information and Communication Services Unit,9123456789,43,Male,Cancer,Mobile Legends
Remedios,Zelda,Sasha Lyons,1112,College President Office,9946441167,38,Male,Fit,Triathlon
Aretha,Evan,Darrel Dunlap,1113,College of Business and Accountancy,9863381915,46,Female,Fit,Basketball
Kieran,Barrett,Maia Green,1114,College Library,9780322664,21,Female,Fit,
Uta,Bo,Zia Baldwin,1115,College Registar,9697263413,50,Male,Fit,
Malcolm,Hayes,Molly Wilkins,1116,College Administrator Office,9673902158,64,Male,Fit,Volleyball
Winter,Jada,Hyacinth Sanders,1117,Institute of Human Kinetics,9207108250,28,Female,On-Leave,Badminton
Audrey,Hyacinth,Wesley Tyson,1118,Maintenance and Finance Services Office,9123456789,62,Male,On-Leave,Chess
Daryl,Georgia,Justina Rich,1119,Institute of Graduate Studies,9147483647,36,Male,On Official Business,
Alea,Yuli,Cheryl Haney,1120,College of Computer Studies,9147483647,43,Female,Fit,
Tanek,Tiger,Virginia Willis,1121,"College of Education, Arts, and Sciences",9123456789,44,Female,Fit,
Martin,Maris,Paula Baxter,1122,College of Computer Studies,9946441167,23,Male,Fit,
Jasper,Dolan,Colette Rush,1123,Management Information and Communication Services Unit,9863381915,64,Male,Fit,
Jade,Xantha,TaShya Alvarado,1124,College of Allied Health Studies,9780322664,58,Female,Fever,
Odysseus,Renee,Guinevere Quinn,1125,National Service Training Program,9697263413,39,Male,PWD,
Quinn,Aileen,Iola Mays,1126,Finance Services Unit,9673902158,39,Male,Pregnant,
Ignacia,Zephania,Shana Singleton,1127,Human Resource Management Unit,9207108250,22,Female,Asthma,Bowling
Giacomo,Raymond,Lavinia Sloan,1128,Internal Security Services Unit,9123456789,56,Female,Fit,Mobile Legends
Malik,Fay,Beau Chambers,1129,Management Information System Unit,9147483647,55,Male,Fit,Triathlon
Gillian,Hammett,Leslie Savage,1130,Vocational and Technical Education Office,9147483647,33,Male,Fit,Basketball
Basil,Adrian,Gemma Montoya,1131,Institute of Graduate Studies,9123456789,39,Female,Fit,
Neville,Cameron,Orla Raymond,1132,Property Management Unit,9946441167,31,Male,Fit,
Zachery,Lamar,Jermaine Russell,1133,College of Business and Accountancy,9863381915,32,Male,Fit,Volleyball
Mary,Kato,Austin Espinoza,1134,"College of Education, Arts and Sciences",9780322664,59,Female,On Official Time,Badminton
Kirestin,Frances,Glenna Franco,1135,College of Computer Studies,9697263413,45,Female,On-Leave,Chess
Joan,Scarlett,Chelsea Acosta,1136,College of Business and Accountancy,9147483647,32,Male,On Official Business,
Cole,Joan,Zeus Greer,1137,"College of Education, Arts and Sciences",9673902158,42,Male,Allergies,
